"","JC1A","JP4D"
"Paracoccus pantotrophus",2.29838299603376,1.37972405518896
"Bradyrhizobium sp. SK17",4.91542086172413,0
"Bradyrhizobium sp. A19",0.0372893996406658,0
"Bradyrhizobium betae",1.01698362656361,0
"Phyllobacterium sp. T1293",0.13220787145327,0
"Phyllobacterium zundukense",0.284755415437811,0
"Acuticoccus sp. I52.16.1",0.0508491813281806,0
"Pannonibacter phragmitetus",5.25780534933388,2.35650983010945
"Porphyrobacter sp. CACIAM 03H1",1.17292111597003,5.77922151418773
"Porphyrobacter sp. HT-58-2",0.78646733787586,6.04407420402712
"Erythrobacter neustonensis",0.57629072171938,2.119953367817
"Phenylobacterium zucineum",1.40682735007966,0
"Hyphomonas neptunium",0.057629072171938,0
"Delftia acidovorans",20.1939048781315,0
"Cupriavidus oxalaticus",0.596630394250653,0
"Bordetella hinzii",0.220346452422116,0
"Stenotrophomonas maltophilia",5.33238414861521,0
"Acinetobacter junii",0.440692904844232,0
"Pseudomonas yamanorum",0.128817926031391,0
"Pseudomonas stutzeri",0.149157598562663,0
"Thiocapsa bogorovii",0.0983084172344825,0
"Geobacter sulfurreducens",1.35936811417336,0
"Desulfovibrio sulfodismutans",0.081358690125089,0
"Corallococcus macrosporus",0.0915285263907251,0
"Cutibacterium acnes",1.10512220753246,0
"Corynebacterium tuberculostearicum",0.49832197701617,0
"Bifidobacterium longum",0.101698362656361,0
"Bifidobacterium pseudocatenulatum",0.081358690125089,0
"Streptococcus sp. HSISS2",0.122038035187633,0
"Streptococcus salivarius",0.844096410047798,0
"Streptococcus mitis",0.47120241364114,0
"Limosilactobacillus fermentum",0.230516288687752,0
"Dolosigranulum pigrum",0.142377707718906,0
"Caldibacillus thermoamylovorans",0.145767653140784,0
"Cloacibacterium caeni",0.810196955829011,0
"Cloacibacterium normanense",0.305095087969084,0
"Capnocytophaga leadbetteri",0.372893996406658,0
"Capnocytophaga sp. FDAARGOS_737",0.257635852062782,0
"Chlorobaculum limnaeum",0.0474592359063019,0
"Alienimonas californiensis",0.101698362656361,0
"Homo sapiens",47.5439845418489,9.248339011443
"Influenza B virus",0.13220787145327,0
"Paracoccus sp. MA",0,0.210523932949259
"Paracoccus sp. Arc7-R13",0,0.166381817976027
"Paracoccus sp. MC1862",0,0.043010265871354
"Paracoccus contaminans",0,0.9303799617435
"Paracoccus yeei",0,2.60551663252255
"Paracoccus liaowanqingii",0,0.133558194021573
"Paracoccus zhejiangensis",0,0.367850958110265
"Paracoccus sanguinis",0,0.27503933175629
"Paracoccus aminovorans",0,0.3203132958314
"Paracoccus jeotgali",0,0.139217439530962
"Paracoccus denitrificans",0,0.157327025161006
"Paracoccus marcusii",0,0.232029065884936
"Paracoccus suum",0,0.191282498217338
"Cereibacter azotoformans",0,0.090547928150219
"Cereibacter sphaeroides",0,0.628176251542144
"Rhodobacter sp. N10",0,0.0305599257506989
"Rhodobacter sp. CZR27",0,0.234292764088692
"Rhodobacter sp. LPB0142",0,2.79793097984177
"Rhodobacter capsulatus",0,0.278434879061923
"Rhodovulum sp. P5",0,1.58685244083259
"Rhodovulum sp. MB263",0,0.108657513780263
"Haematobacter massiliensis",0,5.87090129143983
"Brevirhabdus pacifica",0,2.39159715226766
"Gemmobacter aquarius",0,1.44763500130163
"Frigidibacter mobilis",0,0.997159058754287
"Yoonia vestfoldensis",0,0.388224241944064
"Qingshengfaniella alkalisoli",0,0.0713064934182975
"Fuscovulum blasticum",0,0.127898948512184
"Pukyongiella litopenaei",0,0.0226369820375548
"Paroceanicella profunda",0,0.293148917386334
"Pontivivens ytuae",0,0.0814931353351971
"Tabrizicola piscis",0,0.110921211984018
"Falsirhodobacter sp. PG104",0,0.0169777365281661
"Pelagovum pacificum",0,0.110921211984018
"Pikeienuella piscinae",0,0.0113184910187774
"Polymorphum gilvum",0,0.253534198820613
"Roseivivax marinus",0,0.189018800013582
"Roseovarius sp. SCSIO 43702",0,0.0237688311394325
"Roseovarius indicus",0,0.341818428767077
"Phaeobacter inhibens",0,0.72551527430363
"Sulfitobacter pseudonitzschiae",0,0.434630055121051
"Mameliella alba",0,0.441421149732318
"Salipiger profundus",0,0.397279034759086
"Actibacterium sp. EMB200-NS6",0,1.01866419168996
"Sagittula sp. P11",0,0.829645391676382
"Dinoroseobacter shibae",0,0.538760172493803
"Roseibacterium elongatum",0,0.0611198515013978
"Antarctobacter heliothermus",0,0.0350873221582099
"Porphyrobacter sp. LM 6",0,4.65416350692126
"Erythrobacter sp. HL-111",0,1.30275831626128
"Erythrobacter sp. JK5",0,0.0147140383244106
"Erythrobacter litoralis",0,0.40520197847223
"Croceicoccus marinus",0,6.64621792622608
"Sphingopyxis macrogoltabida",0,3.43289832599518
"Sphingopyxis sp. FD7",0,2.08373419655691
